   Compiling dytallix-contracts v0.1.0 (/Users/rickglenn/dytallix/smart-contracts)
   Compiling dytallix-node v0.1.0 (/Users/rickglenn/dytallix/blockchain-core)
   Compiling dytallix-lean-node v0.1.0 (/Users/rickglenn/dytallix/dytallix-lean-launch/node)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 18.77s
     Running `target/debug/dytallix-lean-node`
Secrets mode: Plain Keystore (dev) path=/Users/rickglenn/.dytallix/keystore — no passphrase required
Validator key loaded (64 bytes) via secure provider
Node listening on 0.0.0.0:3030
produced block height=32598 tx_total=0 successes=0
produced block height=32599 tx_total=0 successes=0
produced block height=32600 tx_total=0 successes=0
produced block height=32601 tx_total=0 successes=0
produced block height=32602 tx_total=0 successes=0
produced block height=32603 tx_total=0 successes=0
produced block height=32604 tx_total=0 successes=0
produced block height=32605 tx_total=0 successes=0
produced block height=32606 tx_total=0 successes=0
produced block height=32607 tx_total=0 successes=0
produced block height=32608 tx_total=0 successes=0
produced block height=32609 tx_total=0 successes=0
produced block height=32610 tx_total=0 successes=0
produced block height=32611 tx_total=0 successes=0
produced block height=32612 tx_total=0 successes=0
produced block height=32613 tx_total=0 successes=0
produced block height=32614 tx_total=0 successes=0
produced block height=32615 tx_total=0 successes=0
produced block height=32616 tx_total=0 successes=0
produced block height=32617 tx_total=0 successes=0
produced block height=32618 tx_total=0 successes=0
produced block height=32619 tx_total=0 successes=0
produced block height=32620 tx_total=0 successes=0
produced block height=32621 tx_total=0 successes=0
produced block height=32622 tx_total=0 successes=0
produced block height=32623 tx_total=0 successes=0
produced block height=32624 tx_total=0 successes=0
produced block height=32625 tx_total=0 successes=0
produced block height=32626 tx_total=0 successes=0
produced block height=32627 tx_total=0 successes=0
produced block height=32628 tx_total=0 successes=0
produced block height=32629 tx_total=0 successes=0
produced block height=32630 tx_total=0 successes=0
produced block height=32631 tx_total=0 successes=0
produced block height=32632 tx_total=0 successes=0
produced block height=32633 tx_total=0 successes=0
produced block height=32634 tx_total=0 successes=0
produced block height=32635 tx_total=0 successes=0
produced block height=32636 tx_total=0 successes=0
