
> quantumvault-frontend@0.1.0 dev
> vite


  VITE v5.4.21  ready in 175 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: use --host to expose
  ➜  press h + enter to show help
6:16:36 PM [vite] hmr update /src/App.tsx
6:16:36 PM [vite] hmr update /src/DemoView.tsx
6:16:36 PM [vite] hmr update /src/views/AssetDetail.tsx, /src/views/PqcRiskDashboard.tsx
6:16:36 PM [vite] hmr update /src/views/PqcRiskDashboard.tsx
6:16:36 PM [vite] hmr update /src/views/AssetDetail.tsx
6:19:32 PM [vite] hmr update /src/DemoView.tsx
6:19:34 PM [vite] hmr update /src/DemoView.tsx
6:19:36 PM [vite] hmr update /src/DemoView.tsx
6:19:38 PM [vite] hmr update /src/DemoView.tsx
6:19:40 PM [vite] hmr update /src/DemoView.tsx
6:20:02 PM [vite] hmr update /src/DemoView.tsx
6:20:31 PM [vite] hmr update /src/DemoView.tsx
6:20:32 PM [vite] hmr update /src/DemoView.tsx
6:20:34 PM [vite] hmr update /src/DemoView.tsx
6:20:36 PM [vite] hmr update /src/DemoView.tsx
6:20:38 PM [vite] hmr update /src/DemoView.tsx
6:24:46 PM [vite] hmr update /src/DemoView.tsx
6:25:48 PM [vite] hmr update /src/DemoView.tsx
6:25:50 PM [vite] hmr update /src/DemoView.tsx
6:27:55 PM [vite] hmr update /src/views/PqcRiskDashboard.tsx
6:35:19 PM [vite] hmr update /src/DemoView.tsx
6:35:21 PM [vite] hmr update /src/DemoView.tsx
6:39:01 PM [vite] hmr update /src/views/AssetDetail.tsx
6:39:12 PM [vite] hmr update /src/views/AssetDetail.tsx
6:39:48 PM [vite] hmr update /src/views/PqcRiskDashboard.tsx
6:39:56 PM [vite] hmr update /src/views/PqcRiskDashboard.tsx
6:40:57 PM [vite] hmr update /src/DemoView.tsx
6:40:57 PM [vite] hmr update /src/views/PqcRiskDashboard.tsx
6:40:57 PM [vite] hmr update /src/views/AssetDetail.tsx
